Category: All categories

Month,Toxic masculinity: (United States),Methane emissions: (United States),beef consumption: (United States)
2004-01,0,1,9
2004-02,0,16,24
2004-03,<1,0,33
2004-04,10,0,17
2004-05,0,0,18
2004-06,23,6,0
2004-07,11,<1,18
2004-08,7,10,25
2004-09,<1,18,0
2004-10,<1,13,11
2004-11,<1,0,22
2004-12,<1,7,8
2005-01,<1,6,<1
2005-02,0,0,20
2005-03,0,6,5
2005-04,<1,0,<1
2005-05,4,0,6
2005-06,0,0,0
2005-07,8,6,<1
2005-08,<1,4,14
2005-09,<1,0,0
2005-10,0,9,12
2005-11,0,7,16
2005-12,<1,5,0
2006-01,0,8,5
2006-02,0,0,5
2006-03,0,10,6
2006-04,0,3,10
2006-05,0,0,0
2006-06,5,22,7
2006-07,0,5,4
2006-08,<1,0,0
2006-09,0,7,6
2006-10,0,0,6
2006-11,<1,5,4
2006-12,0,4,4
2007-01,0,6,<1
2007-02,0,0,7
2007-03,<1,0,6
2007-04,0,13,2
2007-05,3,8,4
2007-06,<1,5,8
2007-07,0,0,3
2007-08,0,10,4
2007-09,<1,5,9
2007-10,4,4,9
2007-11,0,7,11
2007-12,0,8,6
2008-01,0,4,<1
2008-02,0,5,8
2008-03,6,4,5
2008-04,<1,7,7
2008-05,<1,7,8
2008-06,<1,14,8
2008-07,2,3,6
2008-08,5,0,8
2008-09,3,3,4
2008-10,<1,4,1
2008-11,<1,7,9
2008-12,<1,2,4
2009-01,0,9,0
2009-02,0,7,7
2009-03,0,3,6
2009-04,2,8,2
2009-05,0,5,5
2009-06,0,8,2
2009-07,0,2,5
2009-08,1,3,6
2009-09,0,3,8
2009-10,2,5,6
2009-11,1,5,8
2009-12,1,8,5
2010-01,3,6,2
2010-02,2,5,8
2010-03,0,6,7
2010-04,0,10,6
2010-05,0,6,7
2010-06,<1,5,<1
2010-07,0,4,5
2010-08,0,2,2
2010-09,0,4,2
2010-10,<1,4,1
2010-11,0,3,5
2010-12,0,3,4
2011-01,0,1,4
2011-02,1,2,6
2011-03,2,4,7
2011-04,2,5,6
2011-05,0,7,4
2011-06,<1,2,3
2011-07,<1,4,4
2011-08,0,0,5
2011-09,0,1,6
2011-10,0,3,3
2011-11,1,2,8
2011-12,1,4,2
2012-01,0,3,4
2012-02,<1,4,4
2012-03,0,5,5
2012-04,1,4,4
2012-05,1,4,4
2012-06,<1,6,2
2012-07,0,2,3
2012-08,<1,2,3
2012-09,0,3,2
2012-10,0,6,4
2012-11,0,4,7
2012-12,<1,5,3
2013-01,0,4,4
2013-02,0,6,4
2013-03,1,5,5
2013-04,0,5,3
2013-05,<1,5,6
2013-06,<1,3,2
2013-07,1,5,3
2013-08,0,2,4
2013-09,1,5,3
2013-10,<1,4,3
2013-11,1,7,4
2013-12,0,4,5
2014-01,<1,4,4
2014-02,0,6,5
2014-03,<1,7,3
2014-04,<1,8,3
2014-05,1,5,3
2014-06,1,5,4
2014-07,0,4,3
2014-08,1,3,4
2014-09,<1,6,3
2014-10,3,6,5
2014-11,3,5,4
2014-12,3,5,4
2015-01,4,7,4
2015-02,1,6,4
2015-03,2,6,4
2015-04,2,5,6
2015-05,1,5,4
2015-06,4,3,4
2015-07,5,6,2
2015-08,2,8,3
2015-09,3,4,5
2015-10,5,6,6
2015-11,4,8,4
2015-12,6,8,4
2016-01,4,6,5
2016-02,3,8,4
2016-03,4,9,5
2016-04,3,11,7
2016-05,4,11,5
2016-06,14,5,3
2016-07,6,5,3
2016-08,7,5,3
2016-09,10,7,2
2016-10,18,8,3
2016-11,2,1,6
2016-12,<1,0,2
2017-01,<1,0,4
2017-02,<1,<1,4
2017-03,10,0,6
2017-04,18,2,5
2017-05,21,3,4
2017-06,14,6,3
2017-07,14,4,3
2017-08,13,3,3
2017-09,19,5,5
2017-10,31,6,5
2017-11,31,8,6
2017-12,35,5,5
2018-01,30,5,5
2018-02,50,8,5
2018-03,46,7,4
2018-04,44,9,4
2018-05,58,8,3
2018-06,46,4,5
2018-07,43,3,5
2018-08,17,2,4
2018-09,1,8,5
2018-10,0,7,6
2018-11,<1,7,5
2018-12,0,7,4
2019-01,0,7,5
2019-02,0,9,5
2019-03,0,9,5
2019-04,42,9,4
2019-05,76,10,5
2019-06,72,6,3
2019-07,53,6,2
2019-08,72,11,5
2019-09,68,10,8
2019-10,62,9,8
2019-11,66,11,5
2019-12,67,9,5
2020-01,58,7,6
2020-02,71,10,5
2020-03,58,7,4
2020-04,67,9,5
2020-05,68,7,6
2020-06,57,5,4
2020-07,75,7,4
2020-08,71,6,3
2020-09,80,6,5
2020-10,83,8,4
2020-11,88,8,4
2020-12,80,6,4
2021-01,65,5,3
2021-02,69,8,7
2021-03,81,8,5
2021-04,68,12,9
2021-05,61,8,5
2021-06,54,7,3
2021-07,47,6,3
2021-08,44,10,2
2021-09,54,11,4
2021-10,61,11,5
2021-11,69,28,6
2021-12,53,10,4
2022-01,55,12,6
2022-02,65,18,8
2022-03,94,17,7
2022-04,100,24,7
2022-05,82,15,6
2022-06,58,12,5
2022-07,57,12,5
2022-08,54,12,6
2022-09,59,12,7
2022-10,72,18,6
2022-11,74,19,8
2022-12,76,14,7
2023-01,71,17,9
2023-02,76,18,9
2023-03,82,19,8
2023-04,64,19,6
2023-05,60,19,5
2023-06,48,10,6
2023-07,49,12,5
2023-08,50,12,6
2023-09,47,13,8
2023-10,61,15,9
2023-11,54,20,7
2023-12,50,19,9
2024-01,42,10,6
